time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0.0,0.0,0.0,-3.14159265
0.011008,0.117,0.0,0.0,-3.14159265
0.014656,0.205,0.0,0.0,-3.14159265
0.018304,0.333,0.0,0.0,-3.14159265
0.021952,0.45,0.0,0.0,-3.14159265
0.0256,0.539,0.0,0.0,-3.14159265
0.029248,0.666,0.0,0.0,-3.14159265
0.032896,0.754,0.0,0.0,-3.14159265
0.036544,0.862,0.0,0.0,-3.14159265
0.040192,0.98,0.0,0.0,-3.14159265
0.04384,1.068,0.0,0.0,-3.14159265
0.047552,1.196,0.0,0.0,-3.14159265
0.051264,1.303,0.0,0.0,-3.14159265
0.054976,1.411,0.0,0.0,-3.14159265
0.058688,1.48,0.0,0.0,-3.14159265
0.062464,1.607,0.0,0.0,-3.14159265
0.066176,1.696,0.0,0.0,-3.14159265
0.069888,1.764,0.0,0.0,-3.14159265
0.0736,1.872,0.0,0.0,-3.14159265
0.077376,1.95,0.0,0.0,-3.14159265
0.081088,2.019,0.0,0.0,-3.14159265
0.0848,2.078,0.0,0.0,-3.14159265
0.088512,2.137,0.0,0.0,-3.14159265
0.092288,2.215,0.0,0.0,-3.14159265
0.096,2.264,0.0,0.0,-3.14159265
0.099712,2.303,0.0,0.0,-3.14159265
0.103424,2.362,0.0,0.0,-3.14159265
0.107264,2.392,0.0,0.0,-3.14159265
0.111104,2.431,0.0,0.0,-3.14159265
0.11488,2.45,0.0,0.0,-3.14159265
0.11872,2.47,0.0,0.0,-3.14159265
0.12256,2.49,0.0,0.0,-3.14159265
0.1264,2.49,0.0,0.0,-3.14159265
0.130176,2.49,0.0,0.0,-3.14159265
0.134016,2.49,0.0,0.0,-3.14159265
0.137856,2.48,0.0,0.0,-3.14159265
0.141696,2.45,0.0,0.0,-3.14159265
0.145472,2.431,0.0,0.0,-3.14159265
0.149312,2.392,0.0,0.0,-3.14159265
0.153152,2.352,0.0,0.0,-3.14159265
0.156928,2.294,0.0,0.0,-3.14159265
0.160768,2.254,0.0,0.0,-3.14159265
0.164608,2.186,0.0,0.0,-3.14159265
0.168448,2.107,0.0,0.0,-3.14159265
0.172224,2.039,0.0,0.0,-3.14159265
0.176064,1.97,0.0,0.0,-3.14159265
0.179904,1.892,0.0,0.0,-3.14159265
0.18368,1.803,0.0,0.0,-3.14159265
0.18752,1.696,0.0,0.0,-3.14159265
0.19136,1.578,0.0,0.0,-3.14159265
0.1952,1.48,0.0,0.0,-3.14159265
0.198976,1.362,0.0,0.0,-3.14159265
0.202816,1.284,0.0,0.0,-3.14159265
0.206656,1.147,0.0,0.0,-3.14159265
0.210496,1.009,0.0,0.0,-3.14159265
0.214272,0.892,0.0,0.0,-3.14159265
0.218048,0.754,0.0,0.0,-3.14159265
0.22176,0.627,0.0,0.0,-3.14159265
0.225472,0.48,0.0,0.0,-3.14159265
0.229248,0.362,0.0,0.0,-3.14159265
0.23296,0.205,0.0,0.0,-3.14159265
0.236736,0.117,0.0,0.0,-3.14159265
0.240448,-0.029,0.0,0.0,-3.14159265
0.244224,-0.176,0.0,0.0,-3.14159265
0.248,-0.333,0.0,0.0,-3.14159265
0.25184,-0.421,0.0,0.0,-3.14159265
0.25568,-0.568,0.0,0.0,-3.14159265
0.25952,-0.725,0.0,0.0,-3.14159265
0.263296,-0.862,-0.546,0.0,-3.14159265
0.267392,-1.009,-0.768,0.0,-3.14159265
0.271552,-1.117,-0.65,0.0,-3.14159265
0.275712,-1.284,-0.806,0.0,-3.14159265
0.279872,-1.382,-0.936,0.0,-3.14159265
0.284032,-1.529,-0.962,0.0,-3.14159265
0.288192,-1.647,-1.092,0.0,-3.14159265
0.29248,-1.764,-1.28,0.0,-3.14159265
0.296704,-1.872,-1.248,0.0,-3.14159265
0.300992,-1.98,-1.43,0.0,-3.14159265
0.305216,-2.078,-1.482,0.0,-3.14159265
0.30944,-2.156,-1.456,0.0,-3.14159265
0.313728,-2.225,-1.586,0.0,-3.14159265
0.317952,-2.303,-1.664,0.0,-3.14159265
0.32224,-2.362,-1.69,0.0,-3.14159265
0.326464,-2.411,-1.846,0.0,-3.14159265
0.330688,-2.441,-1.898,0.0,-3.14159265
0.334976,-2.48,-1.872,0.0,-3.14159265
0.3392,-2.49,-1.95,0.0,-3.14159265
0.343488,-2.5,-1.768,0.0,-3.14159265
0.347712,-2.49,-2.002,0.0,-3.14159265
0.351936,-2.47,-1.924,0.0,-3.14159265
0.356224,-2.45,-1.898,0.0,-3.14159265
0.360448,-2.401,-1.898,0.0,-3.14159265
0.364736,-2.372,-1.794,0.0,-3.14159265
0.36896,-2.294,-1.872,0.0,-3.14159265
0.373248,-2.225,-1.768,0.0,-3.14159265
0.377472,-2.156,-1.768,0.0,-3.14159265
0.381696,-2.078,-1.612,0.0,-3.14159265
0.385984,-1.95,-1.638,0.0,-3.14159265
0.390208,-1.843,-1.534,0.0,-3.14159265
0.394496,-1.745,-1.534,0.0,-3.14159265
0.39872,-1.627,-1.352,0.0,-3.14159265
0.402944,-1.46,-1.326,0.0,-3.14159265
0.407232,-1.333,-1.196,0.0,-3.14159265
0.411456,-1.196,-1.04,0.0,-3.14159265
0.415744,-1.039,-0.936,0.0,-3.14159265
0.419904,-0.892,-0.78,0.0,-3.14159265
0.423936,-0.725,-0.702,0.0,-3.14159265
0.428032,-0.539,-0.65,0.0,-3.14159265
0.432128,-0.392,-0.468,0.0,-3.14159265
0.436224,-0.235,-0.312,0.0,-3.14159265
0.440256,-0.058,-0.156,0.0,-3.14159265
0.444288,0.088,0.0,0.0,-3.14159265
0.447936,0.235,0.052,0.0,-3.14159265
0.451776,0.362,0.156,0.0,-3.14159265
0.45568,0.539,0.26,0.0,-3.14159265
0.459584,0.696,0.416,0.0,-3.14159265
0.463488,0.862,0.598,0.0,-3.14159265
0.467392,1.009,0.702,0.0,-3.14159265
0.47136,1.147,0.78,0.0,-3.14159265
0.475392,1.303,1.014,0.0,-3.14159265
0.479424,1.431,1.118,0.0,-3.14159265
0.48352,1.578,1.196,0.0,-3.14159265
0.487616,1.696,1.326,0.0,-3.14159265
0.491648,1.823,1.456,0.0,-3.14159265
0.495744,1.931,1.56,0.0,-3.14159265
0.49984,2.039,1.664,0.0,-3.14159265
0.503936,2.137,1.742,0.0,-3.14159265
0.507968,2.225,1.898,0.0,-3.14159265
0.512064,2.303,2.028,0.0,-3.14159265
0.51616,2.362,1.898,0.0,-3.14159265
0.520192,2.411,2.158,0.0,-3.14159265
0.524288,2.45,2.21,0.0,-3.14159265
0.528384,2.48,2.028,0.0,-3.14159265
0.53248,2.49,2.21,0.0,-3.14159265
0.536512,2.49,2.08,0.0,-3.14159265
0.540608,2.49,2.08,0.0,-3.14159265
0.544704,2.47,2.184,0.0,-3.14159265
0.548736,2.431,2.184,0.0,-3.14159265
0.552832,2.392,2.08,0.0,-3.14159265
0.556928,2.313,2.184,0.0,-3.14159265
0.561024,2.254,1.976,0.0,-3.14159265
0.565056,2.166,1.846,0.0,-3.14159265
0.569152,2.078,1.82,0.0,-3.14159265
0.573248,1.97,1.846,0.0,-3.14159265
0.57728,1.872,1.664,0.0,-3.14159265
0.581376,1.745,1.664,0.0,-3.14159265
0.585472,1.607,1.482,0.0,-3.14159265
0.589568,1.48,1.352,0.0,-3.14159265
0.5936,1.333,1.3,0.0,-3.14159265
0.597696,1.176,1.118,0.0,-3.14159265
0.601792,1.009,1.014,0.0,-3.14159265
0.605824,0.862,0.832,0.0,-3.14159265
0.609792,0.696,0.624,0.0,-3.14159265
0.613696,0.509,0.546,0.0,-3.14159265
0.6176,0.333,0.39,0.0,-3.14159265
0.621504,0.147,0.208,0.0,-3.14159265
0.625408,-0.029,0.104,0.0,-3.14159265
0.629312,-0.205,0.0,0.0,-3.14159265
0.633152,-0.392,-0.208,0.0,-3.14159265
0.637184,-0.539,-0.338,0.0,-3.14159265
0.64128,-0.725,-0.39,0.0,-3.14159265
0.645376,-0.892,-0.572,0.0,-3.14159265
0.649472,-1.068,-0.754,0.0,-3.14159265
0.653632,-1.225,-0.884,0.0,-3.14159265
0.657792,-1.382,-1.014,0.0,-3.14159265
0.662016,-1.558,-1.092,0.0,-3.14159265
0.666304,-1.696,-1.196,0.0,-3.14159265
0.670528,-1.843,-1.352,0.0,-3.14159265
0.674752,-1.95,-1.482,0.0,-3.14159265
0.67904,-2.088,-1.508,0.0,-3.14159265
0.683264,-2.186,-1.586,0.0,-3.14159265
0.687552,-2.264,-1.742,0.0,-3.14159265
0.691776,-2.343,-1.846,0.0,-3.14159265
0.696064,-2.411,-1.872,0.0,-3.14159265
0.700288,-2.45,-1.872,0.0,-3.14159265
0.704512,-2.48,-1.898,0.0,-3.14159265
0.7088,-2.49,-1.898,0.0,-3.14159265
0.713024,-2.49,-2.054,0.0,-3.14159265
0.717312,-2.47,-1.872,0.0,-3.14159265
0.721536,-2.441,-1.846,0.0,-3.14159265
0.725824,-2.392,-1.82,0.0,-3.14159265
0.730048,-2.313,-1.95,0.0,-3.14159265
0.734272,-2.245,-1.69,0.0,-3.14159265
0.73856,-2.156,-1.794,0.0,-3.14159265
0.742784,-2.058,-1.56,0.0,-3.14159265
0.747072,-1.911,-1.586,0.0,-3.14159265
0.751296,-1.784,-1.456,0.0,-3.14159265
0.75552,-1.627,-1.404,0.0,-3.14159265
0.759808,-1.48,-1.3,0.0,-3.14159265
0.764032,-1.303,-1.144,0.0,-3.14159265
0.76832,-1.117,-1.04,0.0,-3.14159265
0.772544,-0.95,-0.832,0.0,-3.14159265
0.77664,-0.774,-0.754,0.0,-3.14159265
0.780736,-0.568,-0.65,0.0,-3.14159265
0.784768,-0.392,-0.39,0.0,-3.14159265
0.788864,-0.205,-0.312,0.0,-3.14159265
0.79296,0.058,-0.156,0.0,-3.14159265
0.796864,0.176,-0.026,0.0,-3.14159265
0.800768,0.392,0.0,0.0,-3.14159265
0.80448,0.539,0.286,0.0,-3.14159265
0.808448,0.754,0.468,0.0,-3.14159265
0.812352,0.95,0.65,0.0,-3.14159265
0.816256,1.117,0.832,0.0,-3.14159265
0.820224,1.303,0.91,0.0,-3.14159265
0.824192,1.46,1.144,0.0,-3.14159265
0.828288,1.607,1.274,0.0,-3.14159265
0.832384,1.764,1.326,0.0,-3.14159265
0.83648,1.892,1.56,0.0,-3.14159265
0.840512,2.019,1.638,0.0,-3.14159265
0.844608,2.127,1.716,0.0,-3.14159265
0.848704,2.225,1.82,0.0,-3.14159265
0.852736,2.303,2.002,0.0,-3.14159265
0.856832,2.382,2.002,0.0,-3.14159265
0.860928,2.441,2.08,0.0,-3.14159265
0.865024,2.47,2.236,0.0,-3.14159265
0.869056,2.49,2.236,0.0,-3.14159265
0.873152,2.49,2.158,0.0,-3.14159265
0.877248,2.48,2.132,0.0,-3.14159265
0.88128,2.45,2.184,0.0,-3.14159265
0.885376,2.392,2.054,0.0,-3.14159265
0.889472,2.343,1.976,0.0,-3.14159265
0.893568,2.254,2.028,0.0,-3.14159265
0.8976,2.156,2.002,0.0,-3.14159265
0.901696,2.058,1.95,0.0,-3.14159265
0.905792,1.95,1.716,0.0,-3.14159265
0.909824,1.803,1.69,0.0,-3.14159265
0.91392,1.607,1.508,0.0,-3.14159265
0.918016,1.46,1.326,0.0,-3.14159265
0.922112,1.284,1.248,0.0,-3.14159265
0.926144,1.088,1.118,0.0,-3.14159265
0.93024,0.892,0.884,0.0,-3.14159265
0.934144,0.725,0.702,0.0,-3.14159265
0.938048,0.509,0.546,0.0,-3.14159265
0.941952,0.303,0.416,0.0,-3.14159265
0.945856,0.147,0.26,0.0,-3.14159265
0.94976,-0.058,0.182,0.0,-3.14159265
0.953728,-0.274,-0.026,0.0,-3.14159265
0.957696,-0.45,-0.234,0.0,-3.14159265
0.961792,-0.666,-0.364,0.0,-3.14159265
0.965888,-0.862,-0.768,0.0,-3.14159265
0.96992,-1.117,-0.676,0.0,-3.14159265
0.97408,-1.284,-0.91,0.0,-3.14159265
0.97824,-1.46,-1.092,0.0,-3.14159265
0.982528,-1.627,-1.196,0.0,-3.14159265
0.986752,-1.784,-1.3,0.0,-3.14159265
0.99104,-1.95,-1.352,0.0,-3.14159265
0.995264,-2.078,-1.56,0.0,-3.14159265
0.999552,-2.196,-1.56,0.0,-3.14159265
1.003776,-2.294,-1.742,0.0,-3.14159265
1.008128,-2.382,-1.742,0.0,-3.14159265
1.01248,-2.431,-1.898,0.0,-3.14159265
1.016832,-2.47,-1.924,0.0,-3.14159265
1.021184,-2.49,-1.95,0.0,-3.14159265
1.025472,-2.49,-2.002,0.0,-3.14159265
1.029824,-2.47,-1.976,0.0,-3.14159265
1.034176,-2.421,-1.95,0.0,-3.14159265
1.038528,-2.352,-1.95,0.0,-3.14159265
1.04288,-2.264,-1.846,0.0,-3.14159265
1.047232,-2.137,-1.846,0.0,-3.14159265
1.051584,-2.019,-1.716,0.0,-3.14159265
1.055936,-1.872,-1.612,0.0,-3.14159265
1.060288,-1.696,-1.43,0.0,-3.14159265
1.064576,-1.529,-1.3,0.0,-3.14159265
1.068928,-1.303,-1.536,0.0,-3.14159265
1.07328,-1.117,-0.962,0.0,-3.14159265
1.077568,-0.921,-0.858,0.0,-3.14159265
1.081728,-0.725,-0.728,0.0,-3.14159265
1.085888,-0.509,-0.572,0.0,-3.14159265
1.090112,-0.235,-0.39,0.0,-3.14159265
1.094272,0.0,-0.182,0.0,-3.14159265
1.098176,0.205,-0.13,0.0,-3.14159265
1.102272,0.421,0.234,0.0,-3.14159265
1.10624,0.666,0.312,0.0,-3.14159265
1.110272,0.862,0.572,0.0,-3.14159265
1.114304,1.039,0.676,0.0,-3.14159265
1.118336,1.254,0.936,0.0,-3.14159265
1.122432,1.431,1.04,0.0,-3.14159265
1.126592,1.627,1.17,0.0,-3.14159265
1.130816,1.784,1.508,0.0,-3.14159265
1.134976,1.97,1.43,0.0,-3.14159265
1.139136,2.088,1.69,0.0,-3.14159265
1.143296,2.215,1.872,0.0,-3.14159265
1.147456,2.303,1.898,0.0,-3.14159265
1.15168,2.382,2.002,0.0,-3.14159265
1.15584,2.441,2.106,0.0,-3.14159265
1.16,2.48,2.158,0.0,-3.14159265
1.16416,2.5,2.158,0.0,-3.14159265
1.16832,2.49,2.184,0.0,-3.14159265
1.172544,2.46,2.184,0.0,-3.14159265
1.176704,2.401,2.21,0.0,-3.14159265
1.180864,2.323,2.106,0.0,-3.14159265
1.185024,2.225,2.054,0.0,-3.14159265
1.189184,2.107,1.95,0.0,-3.14159265
1.193408,1.97,1.716,0.0,-3.14159265
1.197568,1.823,1.768,0.0,-3.14159265
1.201728,1.676,1.638,0.0,-3.14159265
1.205888,1.48,1.404,0.0,-3.14159265
1.210048,1.225,1.3,0.0,-3.14159265
1.214272,1.039,1.04,0.0,-3.14159265
1.218432,0.833,0.858,0.0,-3.14159265
1.2224,0.598,0.65,0.0,-3.14159265
1.226432,0.362,0.52,0.0,-3.14159265
1.2304,0.147,0.286,0.0,-3.14159265
1.234432,-0.088,0.078,0.0,-3.14159265
1.238336,-0.303,-0.026,0.0,-3.14159265
1.242432,-0.539,-0.286,0.0,-3.14159265
1.246592,-0.774,-0.442,0.0,-3.14159265
1.250816,-1.009,-0.676,0.0,-3.14159265
1.25504,-1.254,-0.832,0.0,-3.14159265
1.259328,-1.46,-1.014,0.0,-3.14159265
1.26368,-1.647,-1.144,0.0,-3.14159265
1.267968,-1.843,-1.404,0.0,-3.14159265
1.27232,-2.0,-1.43,0.0,-3.14159265
1.276672,-2.127,-1.586,0.0,-3.14159265
1.281024,-2.264,-1.56,0.0,-3.14159265
1.285376,-2.362,-1.768,0.0,-3.14159265
1.289728,-2.431,-1.898,0.0,-3.14159265
1.29408,-2.48,-1.872,0.0,-3.14159265
1.298432,-2.49,-1.924,0.0,-3.14159265
1.302784,-2.49,-1.95,0.0,-3.14159265
1.307136,-2.45,-2.028,0.0,-3.14159265
1.311424,-2.392,-1.95,0.0,-3.14159265
1.315776,-2.313,-1.742,0.0,-3.14159265
1.320128,-2.186,-1.82,0.0,-3.14159265
1.32448,-2.058,-1.716,0.0,-3.14159265
1.328832,-1.911,-1.586,0.0,-3.14159265
1.333184,-1.696,-1.534,0.0,-3.14159265
1.337536,-1.509,-1.378,0.0,-3.14159265
1.341888,-1.333,-1.222,0.0,-3.14159265
1.34624,-1.039,-1.17,0.0,-3.14159265
1.350592,-0.803,-0.754,0.0,-3.14159265
1.354752,-0.598,-0.598,0.0,-3.14159265
1.358912,-0.303,-0.52,0.0,-3.14159265
1.363072,-0.058,-0.26,0.0,-3.14159265
1.367168,0.205,0.026,0.0,-3.14159265
1.371072,0.421,0.156,0.0,-3.14159265
1.375104,0.696,0.416,0.0,-3.14159265
1.379136,0.921,0.572,0.0,-3.14159265
1.383104,1.147,0.78,0.0,-3.14159265
1.3872,1.362,0.988,0.0,-3.14159265
1.391296,1.529,1.222,0.0,-3.14159265
1.395456,1.715,1.274,0.0,-3.14159265
1.399616,1.911,1.378,0.0,-3.14159265
1.403776,2.058,1.638,0.0,-3.14159265
1.408,2.215,1.872,0.0,-3.14159265
1.41216,2.313,1.792,0.0,-3.14159265
1.41632,2.392,1.872,0.0,-3.14159265
1.42048,2.46,2.21,0.0,-3.14159265
1.42464,2.49,2.054,0.0,-3.14159265
1.428864,2.49,2.21,0.0,-3.14159265
1.433024,2.47,2.314,0.0,-3.14159265
1.437184,2.421,2.21,0.0,-3.14159265
1.441344,2.352,2.106,0.0,-3.14159265
1.445504,2.254,2.132,0.0,-3.14159265
1.449728,2.127,1.792,0.0,-3.14159265
1.453888,1.98,1.846,0.0,-3.14159265
1.458048,1.784,1.69,0.0,-3.14159265
1.462208,1.578,1.508,0.0,-3.14159265
1.466432,1.382,1.3,0.0,-3.14159265
1.470592,1.147,1.196,0.0,-3.14159265
1.474752,0.95,1.04,0.0,-3.14159265
1.478848,0.725,0.702,0.0,-3.14159265
1.482816,0.45,0.598,0.0,-3.14159265
1.486848,0.205,0.338,0.0,-3.14159265
1.490816,-0.058,0.234,0.0,-3.14159265
1.494848,-0.303,-0.052,0.0,-3.14159265
1.498944,-0.598,-0.286,0.0,-3.14159265
1.503104,-0.862,-0.52,0.0,-3.14159265
1.507264,-1.117,-0.702,0.0,-3.14159265
1.511552,-1.333,-0.832,0.0,-3.14159265
1.515776,-1.529,-1.066,0.0,-3.14159265
1.520128,-1.784,-1.3,0.0,-3.14159265
1.52448,-1.95,-1.378,0.0,-3.14159265
1.528832,-2.088,-1.456,0.0,-3.14159265
1.533184,-2.254,-1.716,0.0,-3.14159265
1.537536,-2.362,-1.768,0.0,-3.14159265
1.541888,-2.431,-1.898,0.0,-3.14159265
1.54624,-2.48,-1.846,0.0,-3.14159265
1.550592,-2.49,-1.95,0.0,-3.14159265
1.55488,-2.48,-1.976,0.0,-3.14159265
1.559232,-2.431,-1.846,0.0,-3.14159265
1.563584,-2.352,-1.872,0.0,-3.14159265
1.567936,-2.225,-1.846,0.0,-3.14159265
1.572288,-2.088,-1.82,0.0,-3.14159265
1.57664,-1.931,-1.69,0.0,-3.14159265
1.580992,-1.715,-1.534,0.0,-3.14159265
1.585344,-1.509,-1.378,0.0,-3.14159265
1.589696,-1.284,-1.222,0.0,-3.14159265
1.593984,-1.009,-1.014,0.0,-3.14159265
1.598336,-0.754,-0.832,0.0,-3.14159265
1.60256,-0.48,-0.65,0.0,-3.14159265
1.60672,-0.205,-0.338,0.0,-3.14159265
1.61088,0.058,-0.182,0.0,-3.14159265
1.614912,0.362,-0.026,0.0,-3.14159265
1.61888,0.539,0.156,0.0,-3.14159265
1.622912,0.892,0.416,0.0,-3.14159265
1.62688,1.068,0.728,0.0,-3.14159265
1.630976,1.362,0.858,0.0,-3.14159265
1.635072,1.578,1.118,0.0,-3.14159265
1.639232,1.784,1.274,0.0,-3.14159265
1.643392,1.97,1.612,0.0,-3.14159265
1.647616,2.107,1.716,0.0,-3.14159265
